"customer_id","customer_name","total_accounts","total_account_balance","total_loans","total_loan_amount","total_fixed_deposits","total_fd_amount","total_cards","debit_cards","credit_cards"
126,"Rahul Kumar",1,778681.00,0,0,0,0,1,1,0
127,"Anjali Verma",1,412302.00,0,0,1,100000.00,1,1,0
128,"Riya Mishra",1,1862956.00,0,0,1,500000.00,1,1,0
129,"Priya Gupta",1,323716.00,0,0,0,0,1,1,0
130,"Pooja Pandey",1,376102.00,0,0,0,0,1,1,0
131,"Divya Yadav",2,546731.00,0,0,0,0,2,1,1
132,"Karan Chauhan",1,294102.00,0,0,0,0,1,1,0
133,"Priya Patel",2,612311.00,0,0,0,0,1,1,0
134,"Nitin Sharma",2,565524.00,0,0,1,750000.00,2,2,0
135,"Shreya Chauhan",1,744249.00,0,0,0,0,1,1,0
136,"Priya Sharma",2,670585.00,0,0,1,300000.00,2,1,1
137,"Priya Pandey",2,942382.00,0,0,2,275000.00,2,1,1
138,"Sakshi Chauhan",2,935763.00,0,0,1,300000.00,2,1,1
139,"Neha Pandey",1,279240.00,0,0,1,300000.00,1,1,0
140,"Arjun Sinha",1,456544.00,0,0,0,0,1,1,0
141,"Rohit Patel",1,326856.00,0,0,0,0,1,1,0
142,"Rahul Sinha",1,39721.00,0,0,0,0,1,1,0
143,"Rohit Mishra",3,497605.00,0,0,2,225000.00,3,1,2
144,"Rahul Mishra",1,291093.00,0,0,0,0,1,1,0
145,"Nidhi Nair",2,602617.00,0,0,1,1000000.00,1,1,0
146,"Manish Agarwal",2,379059.00,0,0,0,0,2,1,1
147,"Nitin Jain",1,458700.00,0,0,0,0,1,1,0
148,"Harsh Sharma",1,87634.00,0,0,0,0,1,1,0
149,"Anjali Mishra",2,679900.00,0,0,0,0,2,1,1
150,"Ankit Verma",1,74986.00,0,0,1,25000.00,1,1,0
151,"Pooja Patel",1,110230.00,0,0,1,750000.00,1,1,0
152,"Mohit Mishra",1,369182.00,0,0,0,0,1,1,0
153,"Mohit Sinha",1,402464.00,0,0,1,200000.00,1,1,0
154,"Vikas Sharma",1,206754.00,0,0,0,0,1,1,0
155,"Manish Pandey",1,274612.00,0,0,1,200000.00,1,1,0
156,"Shreya Yadav",2,564413.00,0,0,0,0,2,1,1
157,"Meena Mishra",1,65040.00,0,0,0,0,1,1,0
158,"Suresh Verma",1,478384.00,0,0,0,0,1,1,0
159,"Kavita Singh",1,16366.00,0,0,0,0,1,1,0
160,"Arjun Chauhan",1,282533.00,0,0,0,0,1,1,0
161,"Riya Singh",2,296254.00,0,0,0,0,2,1,1
162,"Asha Reddy",1,411890.00,0,0,0,0,1,1,0
163,"Anjali Gupta",2,1714719.00,0,0,0,0,2,2,0
164,"Shreya Sinha",1,459171.00,0,0,0,0,1,1,0
165,"Riya Kumar",1,261382.00,0,0,0,0,1,1,0
166,"Riya Singh",1,711030.00,0,0,0,0,1,1,0
167,"Mohit Jain",3,408353.00,0,0,0,0,2,1,1
168,"Meena Gupta",2,404722.00,0,0,0,0,1,1,0
169,"Rahul Pandey",1,121750.00,0,0,1,750000.00,1,1,0
170,"Manish Verma",2,1233648.00,0,0,1,50000.00,2,1,1
171,"Vikas Patel",2,295221.00,0,0,2,150000.00,2,1,1
172,"Komal Patel",1,448951.00,0,0,1,1000000.00,1,1,0
173,"Shreya Reddy",1,42238.00,0,0,0,0,1,1,0
174,"Meena Verma",1,176377.00,0,0,0,0,1,1,0
175,"Pooja Jain",1,146884.00,0,0,0,0,1,1,0
176,"Rohit Sharma",2,1188288.00,0,0,1,150000.00,2,2,0
177,"Riya Verma",1,60569.00,0,0,0,0,1,1,0
178,"Arjun Kumar",3,1299196.00,0,0,2,175000.00,3,2,1
179,"Ritu Mishra",2,236818.00,0,0,1,25000.00,2,1,1
180,"Divya Mishra",1,134580.00,0,0,0,0,1,1,0
181,"Arjun Singh",1,319538.00,0,0,0,0,1,1,0
182,"Komal Gupta",2,510230.00,0,0,1,100000.00,2,1,1
183,"Neha Nair",2,539227.00,0,0,0,0,2,1,1
184,"Asha Singh",1,233937.00,0,0,0,0,1,1,0
185,"Rahul Kumar",3,876500.00,0,0,0,0,2,2,0
186,"Neha Gupta",1,483493.00,0,0,0,0,1,1,0
187,"Karan Chauhan",1,71223.00,0,0,0,0,1,1,0
188,"Nitin Jain",2,831626.00,0,0,1,1000000.00,2,1,1
189,"Rajesh Pandey",2,1535313.00,0,0,0,0,2,1,1
190,"Divya Kumar",1,349244.00,0,0,0,0,1,1,0
191,"Asha Sharma",4,2204826.00,0,0,0,0,3,1,2
192,"Deepak Reddy",2,975033.00,0,0,0,0,2,1,1
193,"Vikas Verma",3,772972.00,0,0,1,200000.00,3,2,1
194,"Harsh Agarwal",2,1947189.00,0,0,1,1000000.00,2,1,1
195,"Amit Agarwal",2,1354978.00,0,0,0,0,2,1,1
196,"Manish Chauhan",2,1062454.00,0,0,1,750000.00,2,1,1
197,"Rajesh Yadav",3,636942.00,0,0,1,300000.00,2,1,1
198,"Suresh Singh",2,204161.00,0,0,1,200000.00,2,1,1
199,"Sneha Agarwal",1,203097.00,0,0,0,0,1,1,0
200,"Harsh Mishra",2,459722.00,0,0,2,1750000.00,2,1,1
