"loan_id","customer_id","customer_name","account_no","loan_type","principal_amount","interest_rate","tenure_months","emi_amount","sanction_date","outstanding_balance","loan_status","installments_paid","total_amount_paid","last_payment_date"
77,77,"Anjali Mishra",100100000076,"Home",2227360.00,8.50,139,25239.12,"2019-03-23",80120.86,"Active",12,242511.72,"2025-01-09"
2,2,"Neha Gupta",100100000001,"Gold",346135.00,7.50,22,16888.90,"2025-12-03",125867.27,"Active",12,499148.64,"2023-12-22"
4,4,"Ankit Chauhan",100100000003,"Personal",291057.00,11.50,51,7241.57,"2024-04-11",22828.00,"Active",12,330389.88,"2023-11-12"
19,19,"Vikas Yadav",100100000018,"Car",1079793.00,9.00,59,22715.90,"2018-07-19",896777.24,"Active",12,377970.84,"2025-11-10"
89,89,"Rahul Kumar",100100000088,"Home",5212804.00,8.50,334,40784.58,"2023-03-05",639895.10,"Active",12,352833.60,"2025-04-09"
90,90,"Sakshi Jain",100100000089,"Education",996586.00,8.00,84,15533.00,"2021-07-05",118641.19,"Active",12,351415.32,"2024-10-27"
76,76,"Harsh Kumar",100100000075,"Home",2243433.00,8.50,163,23248.55,"2025-06-21",192687.50,"Defaulted",12,397728.36,"2024-07-05"
92,92,"Ritu Chauhan",100100000091,"Education",517645.00,8.00,26,21750.85,"2018-06-16",99547.12,"Active",12,896556.60,"2026-07-05"
34,34,"Rahul Sharma",100100000033,"Gold",759330.00,7.50,7,111204.50,"2021-07-06",216951.43,"Defaulted",12,773989.92,"2025-01-19"
27,27,"Sakshi Sinha",100100000026,"Personal",766515.00,11.50,30,29520.54,"2025-07-20",102202.00,"Active",12,414713.16,"2026-05-14"
33,33,"Deepak Jain",100100000032,"Car",507851.00,9.00,84,8170.85,"2020-01-21",368796.56,"Active",12,855405.84,"2024-11-12"
53,53,"Arjun Jain",100100000052,"Home",6570579.00,8.50,270,54671.84,"2022-05-25",5232127.72,"Active",12,873119.76,"2023-02-09"
56,56,"Vikas Reddy",100100000055,"Education",1050602.00,8.00,86,16090.71,"2024-08-08",415354.28,"Active",12,221685.24,"2025-05-13"
8,8,"Neha Gupta",100100000007,"Gold",354638.00,7.50,21,18072.65,"2023-12-10",16887.52,"Active",12,237636.84,"2024-07-15"
68,68,"Vikas Patel",100100000067,"Gold",945442.00,7.50,6,161038.49,"2025-08-04",945442.00,"Active",12,708851.28,"2024-08-06"
52,52,"Harsh Mishra",100100000051,"Car",1616178.00,9.00,69,30089.75,"2019-07-16",913491.91,"Defaulted",12,718297.32,"2023-07-02"
58,58,"Kavita Sharma",100100000057,"Gold",254714.00,7.50,28,9944.44,"2025-09-16",245617.07,"Active",12,407035.92,"2023-12-14"
5,5,"Amit Reddy",100100000004,"Home",5971492.00,8.50,123,72891.92,"2022-12-03",5437456.13,"Active",12,87784.32,"2023-09-02"
21,21,"Anjali Yadav",100100000020,"Car",1111188.00,9.00,53,25485.60,"2021-04-19",712837.58,"Active",12,633352.20,"2025-09-23"
55,55,"Vikas Kumar",100100000054,"Gold",98018.00,7.50,13,7873.82,"2020-03-23",15079.69,"Active",12,731715.36,"2024-04-22"
